risk_aversion_a,profile_label,expected_return,variance,risk,utility
8.500000,Conservative,2.113048,0.244288,0.494255,1.074823
8.550000,Conservative,2.100908,0.241440,0.491365,1.068751
8.600000,Conservative,2.088908,0.238641,0.488509,1.062750
8.650000,Conservative,2.077048,0.235891,0.485686,1.056819
8.700000,Conservative,2.065323,0.233188,0.482895,1.050956
8.750000,Conservative,2.053733,0.230531,0.480137,1.045159
8.800000,Conservative,2.042274,0.227920,0.477409,1.039429
8.850000,Conservative,2.030946,0.225352,0.474713,1.033763
8.900000,Conservative,2.019744,0.222828,0.472046,1.028161
8.950000,Conservative,2.008669,0.220346,0.469410,1.022621
9.000000,Conservative,1.997716,0.217905,0.466803,1.017143
9.050000,Conservative,1.986883,0.215504,0.464224,1.011725
9.100000,Conservative,1.976170,0.213143,0.461674,1.006367
9.150000,Conservative,1.965573,0.210821,0.459152,1.001068
9.200000,Conservative,1.955092,0.208536,0.456657,0.995826
9.250000,Conservative,1.944723,0.206288,0.454189,0.990641
9.300000,Conservative,1.934468,0.204077,0.451748,0.985511
9.350000,Conservative,1.924320,0.201900,0.449333,0.980437
9.400000,Conservative,1.914281,0.199759,0.446944,0.975416
9.450000,Conservative,1.904349,0.197651,0.444579,0.970449
9.500000,Conservative,1.894522,0.195577,0.442240,0.965533
9.550000,Conservative,1.884796,0.193534,0.439925,0.960670
9.600000,Conservative,1.875172,0.191524,0.437635,0.955856
9.650000,Conservative,1.865649,0.189545,0.435368,0.951093
9.700000,Conservative,1.856230,0.187598,0.433126,0.946379
9.750000,Conservative,1.846899,0.185679,0.430905,0.941713
9.800000,Conservative,1.837666,0.183790,0.428707,0.937095
9.850000,Conservative,1.828525,0.181929,0.426532,0.932523
9.900000,Conservative,1.819476,0.180097,0.424378,0.927998
9.950000,Conservative,1.810519,0.178292,0.422246,0.923518
10.000000,Conservative,1.801651,0.176514,0.420135,0.919083
