risk_aversion_a,profile_label,expected_return,variance,risk,utility
2.5,Aggressive Growth,7.1022679845297265,2.8261449725199808,1.6811142056743142,3.5695867688797507
2.55,Aggressive Growth,6.963729183647622,2.716400525231402,1.648150637906439,3.500318513977585
2.6,Aggressive Growth,6.830530449597465,2.612935443037137,1.61645768365186,3.4337143736491864
2.65,Aggressive Growth,6.702344749480655,2.5152612834166237,1.5859575288817238,3.369623548953629
2.7,Aggressive Growth,6.578918223087351,2.422971712474911,1.5565897701304963,3.307906411246221
2.75,Aggressive Growth,6.4599791112589084,2.3356695451446856,1.5282897451545914,3.2484334866849656
2.8,Aggressive Growth,6.345276934884852,2.2529945609331747,1.5009978550728094,3.1910845495784077
2.85,Aggressive Growth,6.234607619418956,2.1746384619778,1.4746655424121768,3.135747811100591
2.9,Aggressive Growth,6.127751264517627,2.1002979810347133,1.4492404841967097,3.082319192017293
2.95,Aggressive Growth,6.024517911823512,2.0297059271291547,1.4246774817933898,3.0307016693080087
3.0,Moderate Growth,5.924720184959809,1.9626103312072665,1.400931950955244,2.9808046881489094
3.05,Moderate Growth,5.828204093118018,1.8987937451579233,1.3779672511195333,2.9325436317521847
3.1,Moderate Growth,5.73479901748073,1.8380385000115107,1.3557427853437063,2.8858393424628885
3.15,Moderate Growth,5.644364669704965,1.7801568134507535,1.3342251734436559,2.840617688520028
3.2,Moderate Growth,5.556744022140182,1.7249592817247994,1.3133770523824448,2.7968091713805032
3.25,Moderate Growth,5.471829124685043,1.6722957263577571,1.2931727364732668,2.754348569353688
3.3,Moderate Growth,5.389479034590991,1.6220026794107332,1.2735786899170123,2.7131746135632815
3.35,Moderate Growth,5.309599134447322,1.5739519053450295,1.2545723994034899,2.6732296929943975
3.4,Moderate Growth,5.232059864707258,1.5280001642402623,1.2361230376626198,2.634459585498812
3.45,Moderate Growth,5.156770821594289,1.4840333967235502,1.2182090940079007,2.596813212246165
3.5,Moderate Growth,5.08362699422439,1.441934046298804,1.200805582223369,2.560242413201483
3.55,Moderate Growth,5.012551808995719,1.4016056717920156,1.1838942823546432,2.524701741564891
3.6,Moderate Growth,4.943447410641169,1.3629439640452956,1.1674519108063062,2.490148275359637
3.65,Moderate Growth,4.876233992253083,1.3258589302744235,1.1514594783466865,2.4565414445022604
3.7,Moderate Growth,4.810837972832182,1.290267622135363,1.1358994771261068,2.4238428718817606
3.75,Moderate Growth,4.747193243403988,1.2560944086588468,1.1207561771673833,2.39201622716865
3.8,Moderate Growth,4.6852130207580895,1.2232557518934803,1.1060089293913862,2.361027092160477
3.85,Moderate Growth,4.6248486509596125,1.1916913321325218,1.0916461570181621,2.330842836604508
3.9,Moderate Growth,4.566034446678233,1.1613343297857686,1.077652230446246,2.3014325035959846
3.95,Moderate Growth,4.50869911617329,1.1321176772110997,1.0640101866105887,2.2727667036813677
4.0,Moderate Growth,4.452805019871795,1.1039937515053242,1.0507110694693018,2.244817516861146
4.05,Moderate Growth,4.398290175429485,1.076904579515585,1.0377401310133405,2.217558401910426
4.1,Moderate Growth,4.345105242089945,1.0508005511175242,1.0250856311145544,2.1909641122990204
4.15,Moderate Growth,4.2931994408725584,1.0256331675549277,1.012735487457079,2.1650106181960833
4.2,Moderate Growth,4.242529013711624,1.0013590379363853,1.000679288251928,2.139675034045215
4.25,Moderate Growth,4.193054203223363,0.9779381891581614,0.9889075736175558,2.1149355512622696
4.3,Moderate Growth,4.1447287392611205,0.9553290063478487,0.977409334080583,2.090771375613246
4.35,Moderate Growth,4.097513782132661,0.9334947646956964,0.9661753281344418,2.0671626689195217
4.4,Moderate Growth,4.0513734007138416,0.9124013208972591,0.9551970063276262,2.0440904947398715
4.45,Moderate Growth,4.006266336290723,0.8920132892492362,0.9444645516107188,2.021536767711173
4.5,Moderate Growth,3.962162876364284,0.8723016311582154,0.9339708941708063,1.9994842062582994
4.55,Moderate Growth,3.9190301461833665,0.8532368605461075,0.9237082117996502,1.977916288440972
4.6,Moderate Growth,3.876836980585262,0.8347912043147804,0.9136690890660472,1.9568172106612671
4.65,Moderate Growth,3.835545409334455,0.8169348646390899,0.9038444914027467,1.9361718490485706
4.7,Moderate Growth,3.7951376988272276,0.799647649160949,0.8942301991998196,1.9159657232989975
4.75,Moderate Growth,3.755578196536969,0.7829024142026333,0.8848177293672598,1.8961849628057148
4.8,Moderate Growth,3.7168436081358034,0.7666780555125292,0.8756015392360438,1.8768162749057333
4.85,Moderate Growth,3.6789072342060867,0.75095270891618,0.8665752759663641,1.8578469150843502
4.9,Moderate Growth,3.641743877446961,0.7357058034421236,0.8577329441277882,1.839264659013758
4.95,Moderate Growth,3.605333472913599,0.720919473388635,0.8490697694469136,1.821057776276727
5.0,Moderately Conservative,3.5696495574379976,0.7065738207059964,0.8405794553199575,1.8032150056730067
